artifact,category,attack
Access Control Configuration,Configuration,Domain or Tenant Policy Modification
Access Control Configuration,Configuration,File and Directory Permissions Modification
Access Control Configuration,Configuration,Group Policy Discovery
Access Control Configuration,Configuration,Group Policy Preferences
Access Control Configuration,Configuration,SID-History Injection
Access Control Configuration,Configuration,Setuid and Setgid
Access Token,Identity,Application Access Token
Access Token,Identity,Create Process with Token
Access Token,Identity,Golden Ticket
Access Token,Identity,Make and Impersonate Token
Access Token,Identity,Steal Application Access Token
Access Token,Identity,Steal or Forge Kerberos Tickets
Access Token,Identity,Steal or Forge Kerberos Tickets
Access Token,Identity,Token Impersonation/Theft
Application Configuration,Configuration,Disable Windows Event Logging
Application Configuration,Configuration,Email Forwarding Rule
Application Configuration,Configuration,Email Hiding Rules
Application Configuration,Configuration,Email Hiding Rules
Application Configuration,Configuration,Email Hiding Rules
Application Configuration,Configuration,Impair Command History Logging
Boot Loader,System,Bootkit
Certificate File,File,Application Layer Protocol
Certificate File,File,Asymmetric Cryptography
Certificate File,File,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
Certificate File,File,Exfiltration Over C2 Channel
Certificate File,File,Web Protocols
Configuration Resource,Configuration,Accessibility Features
Configuration Resource,Configuration,AppCert DLLs
Configuration Resource,Configuration,AppInit DLLs
Configuration Resource,Configuration,Application Shimming
Configuration Resource,Configuration,Authentication Package
Configuration Resource,Configuration,Bypass User Account Control
Configuration Resource,Configuration,COR_PROFILER
Configuration Resource,Configuration,Change Default File Association
Configuration Resource,Configuration,Cloud Instance Metadata API
Configuration Resource,Configuration,Cloud Service Dashboard
Configuration Resource,Configuration,Cloud Service Discovery
Configuration Resource,Configuration,Control Panel
Configuration Resource,Configuration,Disable Windows Event Logging
Configuration Resource,Configuration,Disable or Modify System Firewall
Configuration Resource,Configuration,Domain or Tenant Policy Modification
Configuration Resource,Configuration,Email Forwarding Rule
Configuration Resource,Configuration,Email Hiding Rules
Configuration Resource,Configuration,Email Hiding Rules
Configuration Resource,Configuration,Email Hiding Rules
Configuration Resource,Configuration,Emond
Configuration Resource,Configuration,File and Directory Permissions Modification
Configuration Resource,Configuration,Group Policy Discovery
Configuration Resource,Configuration,Group Policy Preferences
Configuration Resource,Configuration,Impair Command History Logging
Configuration Resource,Configuration,Impair Command History Logging
Configuration Resource,Configuration,Netsh Helper DLL
Configuration Resource,Configuration,Office Template Macros
Configuration Resource,Configuration,Office Test
Configuration Resource,Configuration,Outlook Home Page
Configuration Resource,Configuration,Outlook Rules
Configuration Resource,Configuration,Password Filter DLL
Configuration Resource,Configuration,Port Monitors
Configuration Resource,Configuration,RC Scripts
Configuration Resource,Configuration,Registry Run Keys / Startup Folder
Configuration Resource,Configuration,SID-History Injection
Configuration Resource,Configuration,SIP and Trust Provider Hijacking
Configuration Resource,Configuration,Safe Mode Boot
Configuration Resource,Configuration,Screensaver
Configuration Resource,Configuration,Security Software Discovery
Configuration Resource,Configuration,Security Support Provider
Configuration Resource,Configuration,Services Registry Permissions Weakness
Configuration Resource,Configuration,Setuid and Setgid
Configuration Resource,Configuration,Startup Items
Configuration Resource,Configuration,System Location Discovery
Configuration Resource,Configuration,Time Providers
Configuration Resource,Configuration,Winlogon Helper DLL
Container Image,System,Implant Internal Image
Create File,File,Compiled HTML File
Create File,File,Local Data Staging
Create Process,Process,AppCert DLLs
Create Process,Process,AppInit DLLs
Create Process,Process,Application Window Discovery
Create Process,Process,Asynchronous Procedure Call
Create Process,Process,Bypass User Account Control
Create Process,Process,CMSTP
Create Process,Process,Compiled HTML File
Create Process,Process,Control Panel
Create Process,Process,Deobfuscate/Decode Files or Information
Create Process,Process,Mshta
Create Process,Process,Parent PID Spoofing
Create Process,Process,Process Discovery
Create Process,Process,Process Doppelgänging
Create Process,Process,Remote System Discovery
Create Process,Process,Rundll32
Create Process,Process,SQL Stored Procedures
Create Process,Process,Scheduled Task/Job
Create Process,Process,System Information Discovery
Create Process,Process,System Network Configuration Discovery
Create Process,Process,System Owner/User Discovery
Create Process,Process,System Service Discovery
Create Process,Process,System Time Discovery
Create Process,Process,Windows Management Instrumentation
Create Process,Process,XSL Script Processing
Credential,Identity,/etc/passwd and /etc/shadow
Credential,Identity,Additional Cloud Credentials
Credential,Identity,Application Access Token
Credential,Identity,Cached Domain Credentials
Credential,Identity,Create Process with Token
Credential,Identity,Golden Ticket
Credential,Identity,Keychain
Credential,Identity,Make and Impersonate Token
Credential,Identity,NTDS
Credential,Identity,Password Cracking
Credential,Identity,Password Guessing
Credential,Identity,Password Spraying
Credential,Identity,Steal Application Access Token
Credential,Identity,Steal Web Session Cookie
Credential,Identity,Steal or Forge Kerberos Tickets
Credential,Identity,Steal or Forge Kerberos Tickets
Credential,Identity,Token Impersonation/Theft
Credential,Identity,Unsecured Credentials
Credential,Identity,Web Session Cookie
DNS Lookup,Network,Network Sniffing
DNS Network Traffic,Network,DNS
DNS Network Traffic,Network,Dynamic Resolution
Database,File,/etc/passwd and /etc/shadow
Database,File,Add-ins
Database,File,Code Repositories
Database,File,Component Object Model Hijacking
